,date,close,diff,open,high,low,volume
511,2018.08.09,62200,3300,58500,62600,57400,2958273
508,2018.08.10,60300,1900,61600,62900,59700,1699834
507,2018.08.13,55200,5100,59900,60900,54800,1969557
506,2018.08.14,57000,1800,55100,57700,54800,1515087
505,2018.08.16,57500,500,55300,58400,54400,1348411
504,2018.08.17,61500,4000,57800,62000,57700,2558618
500,2018.08.20,60500,1000,62000,62100,60300,1148053
499,2018.08.21,62900,2400,61600,64200,61200,1662342
498,2018.08.22,62000,900,63500,64000,61600,930691
497,2018.08.23,62800,800,62000,62900,61200,885404
496,2018.08.24,65000,2200,64600,66600,63700,2110154
493,2018.08.27,66300,1300,66200,67500,64700,1302620
492,2018.08.28,67400,1100,67300,69100,66500,1677504
491,2018.08.29,66100,1300,67900,68100,65300,1044419
490,2018.08.30,68500,2400,65800,68600,65400,1002923
489,2018.08.31,76400,7900,67900,79100,67700,5987954
485,2018.09.03,77100,700,76400,80300,75700,3267044
484,2018.09.04,77700,600,78300,78600,76600,1307675
483,2018.09.05,76800,900,78300,79400,76500,1722240
482,2018.09.06,75200,1600,77100,77900,74300,1598966
481,2018.09.07,75400,200,74000,77100,73500,1439327
478,2018.09.10,76400,1000,75300,77500,74800,928629
477,2018.09.11,76200,200,76800,77600,75900,798745
476,2018.09.12,84700,8500,76800,86100,76700,6042933
475,2018.09.13,86700,2000,85600,89700,84800,3285025
474,2018.09.14,93100,6400,86900,95000,84800,5450765
470,2018.09.17,93900,800,94400,96800,92300,2349573
469,2018.09.18,95300,1400,94400,98100,93300,2374544
468,2018.09.19,99400,4100,96600,99500,96200,2148592
467,2018.09.20,100100,700,99700,111000,98800,6133215
466,2018.09.21,99800,300,101500,102600,96600,2601821
463,2018.09.27,103000,3200,99000,104900,98900,2196608
462,2018.09.28,102400,600,104200,105300,100000,1685551
461,2018.10.01,106800,4400,103300,107700,100200,2360004
460,2018.10.02,91400,15400,105800,106400,91400,4372464
459,2018.10.04,95200,3800,92500,97300,91400,3171820
455,2018.10.05,88200,7000,94700,95500,87400,3890239
454,2018.10.08,82300,5900,86700,91000,81000,3922977
453,2018.10.10,83900,1600,83700,85300,81900,3215786
452,2018.10.11,79600,4300,79500,82300,78900,2954603
451,2018.10.12,89700,10100,81200,89900,80200,4429117
448,2018.10.15,85000,4700,91000,91200,84100,3003138
447,2018.10.16,88200,3200,86300,89400,84700,2133588
446,2018.10.17,88300,100,91400,92300,86100,2472552
445,2018.10.18,85800,2500,88300,89100,85600,1298097
444,2018.10.19,86000,200,85300,86200,82200,2738449
440,2018.10.22,88000,2000,85500,89200,84800,1765611
439,2018.10.23,81500,6500,86300,86800,80700,2890989
